"","cluster","Accession","Protein","SL_GOIs","Gene"
"Zm00001d021878_T003",8,"Zm00001d021878_T003","Protein FREE1","Other","Zm00001d021878"
"Zm00001d049642_T001",8,"Zm00001d049642_T001","Serine/threonine protein phosphatase 2A 59 kDa regulatory subunit B' eta isoform","Other","Zm00001d049642"
"Zm00001d008739_T001",8,"Zm00001d008739_T001","2-hydroxyacyl-CoA lyase","Other","Zm00001d008739"
"Zm00001d019754_T002",8,"Zm00001d019754_T002","Short-chain dehydrogenase TIC 32 chloroplastic",NA,"Zm00001d019754"
"Zm00001d043991_T001",8,"Zm00001d043991_T001"," DNA binding activity2","Other","Zm00001d043991"
"Zm00001d008728_T001",8,"Zm00001d008728_T001","protein_coding",NA,"Zm00001d008728"
"Zm00001d046900_T003",8,"Zm00001d046900_T003","Grx_C4-glutaredoxin subgroup I  ","Other","Zm00001d046900"
"Zm00001d038594_T001",8,"Zm00001d038594_T001","Protein translation factor SUI1 homolog 2","Other","Zm00001d038594"
"Zm00001d013751_T001",8,"Zm00001d013751_T001","UDP-arabinopyranose mutase 3","Other","Zm00001d013751"
"Zm00001d026286_T001",8,"Zm00001d026286_T001"," ribosomal protein S11","Other","Zm00001d026286"
"Zm00001d017753_T003",8,"Zm00001d017753_T003","Carboxylic ester hydrolase  ",NA,"Zm00001d017753"
"Zm00001d027278_T040",8,"Zm00001d027278_T040","transcription regulators",NA,"Zm00001d027278"
"Zm00001d007938_T002",8,"Zm00001d007938_T002","Suppressor of RPS4-RLD 1","Other","Zm00001d007938"
"Zm00001d025206_T001",8,"Zm00001d025206_T001","exocyst subunit exo70 family protein F1","Other","Zm00001d025206"
"Zm00001d029196_T002",8,"Zm00001d029196_T002","Beta-adaptin-like protein C",NA,"Zm00001d029196"
"Zm00001d034914_T007",8,"Zm00001d034914_T007","Protein EXPORTIN 1A",NA,"Zm00001d034914"
"Zm00001d048628_T014",8,"Zm00001d048628_T014","ARM repeat superfamily protein",NA,"Zm00001d048628"
"Zm00001d028868_T001",8,"Zm00001d028868_T001","Acetate/butyrate--CoA ligase AAE7 peroxisomal","Other","Zm00001d028868"
"Zm00001d038623_T002",8,"Zm00001d038623_T002","Secretory carrier-associated membrane protein 3",NA,"Zm00001d038623"
"Zm00001d020930_T001",8,"Zm00001d020930_T001","complex I subunit","Other","Zm00001d020930"
"Zm00001d053979_T001",8,"Zm00001d053979_T001","SWIB/MDM2 domain superfamily protein","Other","Zm00001d053979"
"Zm00001d001933_T001",8,"Zm00001d001933_T001","Zinc finger CCCH domain-containing protein 52","Other","Zm00001d001933"
"Zm00001d037058_T001",8,"Zm00001d037058_T001","CAK1AT  ","Other","Zm00001d037058"
"Zm00001d052873_T001",8,"Zm00001d052873_T001","SWIB complex BAF60b domain-containing protein","Other","Zm00001d052873"
"Zm00001d011309_T029",8,"Zm00001d011309_T029","Transcriptional corepressor LEUNIG",NA,"Zm00001d011309"
"Zm00001d014585_T003",8,"Zm00001d014585_T003","Cytoplasmic 60S subunit biogenesis factor REI1 homolog 1",NA,"Zm00001d014585"
"Zm00001d051238_T001",8,"Zm00001d051238_T001","Ferredoxin-thioredoxin reductase%2C variable chain  ","Other","Zm00001d051238"
"Zm00001d035669_T001",8,"Zm00001d035669_T001","Rab5-interacting family protein","Other","Zm00001d035669"
"Zm00001d005421_T007",8,"Zm00001d005421_T007","Aquaporin PIP2-2  ",NA,"Zm00001d005421"
"Zm00001d010251_T001",8,"Zm00001d010251_T001","Guanosine nucleotide diphosphate dissociation inhibitor 2","Other","Zm00001d010251"
"Zm00001d044664_T001",8,"Zm00001d044664_T001","40S ribosomal protein S16-3","Cytosolic ribosome","Zm00001d044664"
"Zm00001d052399_T001",8,"Zm00001d052399_T001","Long chain acyl-CoA synthetase 8","Other","Zm00001d052399"
"Zm00001d020552_T001",8,"Zm00001d020552_T001","Tetraspanin-7","Other","Zm00001d020552"
"Zm00001d014732_T002",8,"Zm00001d014732_T002","Peptidyl-prolyl cis-trans isomerase%2C microsomal  ","Other","Zm00001d014732"
"Zm00001d029227_T002",8,"Zm00001d029227_T002","alpha/beta-Hydrolases superfamily protein",NA,"Zm00001d029227"
"Zm00001d044600_T004",8,"Zm00001d044600_T004","RNA binding (RRM/RBD/RNP motifs) family protein",NA,"Zm00001d044600"
"Zm00001d041569_T001",8,"Zm00001d041569_T001","translocon-associated protein beta (TRAPB) family protein","Other","Zm00001d041569"
"Zm00001d049873_T002",8,"Zm00001d049873_T002","Ubiquitin thioesterase otubain-like",NA,"Zm00001d049873"
"Zm00001d048766_T001",8,"Zm00001d048766_T001"," phospholipid synthesis2",NA,"Zm00001d048766"
"Zm00001d010796_T001",8,"Zm00001d010796_T001"," hexokinase3","Other","Zm00001d010796"
"Zm00001d048028_T001",5,"Zm00001d048028_T001","Sec-independent protein translocase protein TATC chloroplastic","Other","Zm00001d048028"
"Zm00001d035747_T002",5,"Zm00001d035747_T002"," argonaute1a","Other","Zm00001d035747"
"Zm00001d022588_T003",5,"Zm00001d022588_T003","Ketol-acid reductoisomerase chloroplastic","Other","Zm00001d022588"
"Zm00001d015211_T001",5,"Zm00001d015211_T001","Guanine nucleotide-binding protein subunit gamma 2","Other","Zm00001d015211"
"Zm00001d049732_T001",5,"Zm00001d049732_T001","Ferredoxin-1  ","Other","Zm00001d049732"
"Zm00001d031599_T001",5,"Zm00001d031599_T001","Proteasome subunit beta type  ","Other","Zm00001d031599"
"Zm00001d016741_T001",5,"Zm00001d016741_T001","Pectinesterase inhibitor domain containing protein  ","Other","Zm00001d016741"
"Zm00001d021844_T003",5,"Zm00001d021844_T003","Sodium/hydrogen exchanger 2",NA,"Zm00001d021844"
"Zm00001d034547_T005",5,"Zm00001d034547_T005","protein_coding",NA,"Zm00001d034547"
"Zm00001d004075_T003",5,"Zm00001d004075_T003","Probable inactive purple acid phosphatase 27","Other","Zm00001d004075"
"Zm00001d034388_T010",5,"Zm00001d034388_T010"," aldehyde oxidase4",NA,"Zm00001d034388"
"Zm00001d050265_T001",5,"Zm00001d050265_T001","Hypersensitive-induced response protein 2","Other","Zm00001d050265"
"Zm00001d052050_T001",5,"Zm00001d052050_T001","Nudix hydrolase 3",NA,"Zm00001d052050"
"Zm00001d033882_T001",5,"Zm00001d033882_T001","Lecithin-cholesterol acyltransferase-like 1","Other","Zm00001d033882"
"Zm00001d018826_T001",5,"Zm00001d018826_T001","MD-2-related lipid recognition domain-containing protein / ML domain-containing protein","Other","Zm00001d018826"
"Zm00001d044815_T001",5,"Zm00001d044815_T001","Protein BOBBER 1","Other","Zm00001d044815"
"Zm00001d016640_T002",5,"Zm00001d016640_T002","TUDOR-SN protein 1","Other","Zm00001d016640"
"Zm00001d052276_T005",5,"Zm00001d052276_T005","RNA-processing Lsm domain",NA,"Zm00001d052276"
"Zm00001d002611_T002",5,"Zm00001d002611_T002","Copper chaperone for superoxide dismutase  ",NA,"Zm00001d002611"
"Zm00001d049922_T002",5,"Zm00001d049922_T002","Retinoid-inducible serine carboxypeptidase%2C mRNA  ",NA,"Zm00001d049922"
"Zm00001d015088_T001",5,"Zm00001d015088_T001","3-isopropylmalate dehydratase large subunit","Other","Zm00001d015088"
"Zm00001d026458_T002",5,"Zm00001d026458_T002","Cysteine protease 1  ",NA,"Zm00001d026458"
"Zm00001d012267_T001",5,"Zm00001d012267_T001","NPL4-like protein 1","Other","Zm00001d012267"
"Zm00001d017790_T001",5,"Zm00001d017790_T001","Carbamoyl-phosphate synthase small chain chloroplastic","Other","Zm00001d017790"
"Zm00001d039173_T004",5,"Zm00001d039173_T004"," hypersensitive induced reaction3",NA,"Zm00001d039173"
"Zm00001d040704_T001",5,"Zm00001d040704_T001","protein_coding",NA,"Zm00001d040704"
"Zm00001d013242_T001",5,"Zm00001d013242_T001","Ankyrin repeat family protein","Other","Zm00001d013242"
"Zm00001d050139_T001",5,"Zm00001d050139_T001","Histone deacetylase  ","Other","Zm00001d050139"
"Zm00001d028258_T001",5,"Zm00001d028258_T001","cytochrome P450 family 94 subfamily D polypeptide 2","Other","Zm00001d028258"
"Zm00001d011210_T001",5,"Zm00001d011210_T001"," lycopene epsilon cyclase1","Other","Zm00001d011210"
"Zm00001d006613_T001",5,"Zm00001d006613_T001","eukaryotic translation initiation factor 2 gamma subunit","Other","Zm00001d006613"
"Zm00001d039142_T002",5,"Zm00001d039142_T002","Solanesyl diphosphate synthase 2 chloroplastic",NA,"Zm00001d039142"
"Zm00001d036345_T001",5,"Zm00001d036345_T001"," yellow endosperm1","Other","Zm00001d036345"
"Zm00001d033383_T001",5,"Zm00001d033383_T001"," hydroxymethylpyrimidine phosphate synthase1","Other","Zm00001d033383"
"Zm00001d031163_T004",5,"Zm00001d031163_T004","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein",NA,"Zm00001d031163"
"Zm00001d039064_T001",5,"Zm00001d039064_T001","DUF3143 family protein","Other","Zm00001d039064"
"Zm00001d049490_T001",5,"Zm00001d049490_T001","Protein CHLORORESPIRATORY REDUCTION 6 chloroplastic","Other","Zm00001d049490"
"Zm00001d035429_T001",5,"Zm00001d035429_T001","Retrovirus-related Pol polyprotein LINE-1",NA,"Zm00001d035429"
"Zm00001d005170_T002",5,"Zm00001d005170_T002","protein_coding",NA,"Zm00001d005170"
"Zm00001d035937_T001",5,"Zm00001d035937_T001","Chaperonin 60 subunit beta 2 chloroplastic","Other","Zm00001d035937"
"Zm00001d047768_T001",5,"Zm00001d047768_T001","FKBP-type peptidyl-prolyl cis-trans isomerase","Other","Zm00001d047768"
"Zm00001d007597_T001",5,"Zm00001d007597_T001"," ABC family1","Other","Zm00001d007597"
"Zm00001d035737_T002",5,"Zm00001d035737_T002","D-glycerate 3-kinase chloroplastic","Other","Zm00001d035737"
"Zm00001d023431_T002",5,"Zm00001d023431_T002","Signal recognition particle 54 kDa protein chloroplastic",NA,"Zm00001d023431"
"Zm00001d032933_T020",5,"Zm00001d032933_T020","Protein NETWORKED 1A","Other","Zm00001d032933"
"Zm00001d024835_T001",5,"Zm00001d024835_T001","Putative thioredoxin superfamily protein  ","Other","Zm00001d024835"
"Zm00001d018891_T001",5,"Zm00001d018891_T001"," chloroplast RNA processing4","Other","Zm00001d018891"
"Zm00001d023677_T001",5,"Zm00001d023677_T001"," sugars will eventually be exported transporter13a","Other","Zm00001d023677"
"Zm00001d041710_T002",5,"Zm00001d041710_T002","Glutathione synthetase chloroplastic","Other","Zm00001d041710"
"Zm00001d012672_T008",5,"Zm00001d012672_T008"," protein; Pentatricopeptide (PPR) repeat protein-like","Other","Zm00001d012672"
"Zm00001d021242_T001",5,"Zm00001d021242_T001","protein_coding","Other","Zm00001d021242"
"Zm00001d027694_T001",5,"Zm00001d027694_T001","Solanesyl diphosphate synthase 2 chloroplastic","Other","Zm00001d027694"
"Zm00001d015929_T002",5,"Zm00001d015929_T002","GTP-binding protein TypA  ","Other","Zm00001d015929"
"Zm00001d018488_T003",5,"Zm00001d018488_T003"," cytochrome P450 13","Other","Zm00001d018488"
"Zm00001d029720_T001",5,"Zm00001d029720_T001","ABC-type Co2+ transport system%2C permease component  ","Other","Zm00001d029720"
"Zm00001d012748_T002",5,"Zm00001d012748_T002"," trehalose-6-phosphate synthase15",NA,"Zm00001d012748"
"Zm00001d035321_T001",5,"Zm00001d035321_T001","SWIB/MDM2 domain superfamily protein","Other","Zm00001d035321"
"Zm00001d021249_T004",5,"Zm00001d021249_T004","Bifunctional UDP-glucose 4-epimerase and UDP-xylose 4-epimerase 1",NA,"Zm00001d021249"
"Zm00001d040804_T001",5,"Zm00001d040804_T001","Protein LOW PSII ACCUMULATION 1 chloroplastic","Other","Zm00001d040804"
"Zm00001d053107_T001",5,"Zm00001d053107_T001","Tyrosine aminotransferase","Other","Zm00001d053107"
"Zm00001d014844_T008",5,"Zm00001d014844_T008","14-alpha-glucan-branching enzyme 2-2 chloroplastic/amyloplastic",NA,"Zm00001d014844"
"Zm00001d006185_T001",5,"Zm00001d006185_T001","6-phosphogluconolactonase  ","Other","Zm00001d006185"
"Zm00001d029997_T001",5,"Zm00001d029997_T001","chloroplast chaperonin 10","Other","Zm00001d029997"
"Zm00001d052556_T001",5,"Zm00001d052556_T001","Signal recognition particle 54 kDa protein chloroplastic","Other","Zm00001d052556"
"Zm00001d021626_T002",5,"Zm00001d021626_T002","Reactive Intermediate Deaminase A chloroplastic","Other","Zm00001d021626"
"Zm00001d015628_T001",5,"Zm00001d015628_T001","Ribosome-like protein  ","Other","Zm00001d015628"
"Zm00001d052797_T003",5,"Zm00001d052797_T003","Phospho-2-dehydro-3-deoxyheptonate aldolase 2 chloroplastic","Other","Zm00001d052797"
"Zm00001d028536_T001",5,"Zm00001d028536_T001","Anthranilate synthase alpha subunit 2 chloroplastic","Other","Zm00001d028536"
"Zm00001d049965_T001",5,"Zm00001d049965_T001","Ribonucleoprotein  ","Other","Zm00001d049965"
"Zm00001d049187_T001",5,"Zm00001d049187_T001"," phosphogluconate dehydrogenase3","Other","Zm00001d049187"
"Zm00001d006520_T001",5,"Zm00001d006520_T001"," PDK regulatory protein1","Other","Zm00001d006520"
"Zm00001d018838_T002",5,"Zm00001d018838_T002","protein_coding","Other","Zm00001d018838"
"Zm00001d029848_T005",5,"Zm00001d029848_T005","Branched-chain-amino-acid aminotransferase  ",NA,"Zm00001d029848"
"Zm00001d034828_T002",5,"Zm00001d034828_T002","Nucleic acid-binding proteins superfamily",NA,"Zm00001d034828"
"Zm00001d000349_T001",5,"Zm00001d000349_T001","Preprotein translocase subunit SCY1 chloroplastic","Other","Zm00001d000349"
"Zm00001d033551_T019",5,"Zm00001d033551_T019","Phosphoglycerate mutase-like family protein",NA,"Zm00001d033551"
"Zm00001d000419_T001",5,"Zm00001d000419_T001","HAD-superfamily hydrolase subfamily IG 5'-nucleotidase","Other","Zm00001d000419"
"Zm00001d002244_T002",5,"Zm00001d002244_T002","Polyadenylate-binding protein RBP45C",NA,"Zm00001d002244"
"Zm00001d013295_T001",5,"Zm00001d013295_T001","Nuclear pore complex protein Nup214","Other","Zm00001d013295"
"Zm00001d022237_T001",5,"Zm00001d022237_T001"," RNA binding protein 1","Other","Zm00001d022237"
"Zm00001d028409_T001",5,"Zm00001d028409_T001","Chaperonin 60 subunit beta 4 chloroplastic","Other","Zm00001d028409"
"Zm00001d018868_T001",5,"Zm00001d018868_T001","protein_coding","Other","Zm00001d018868"
"Zm00001d034668_T001",5,"Zm00001d034668_T001","Chaperone DnaJ-domain superfamily protein","Other","Zm00001d034668"
"Zm00001d023990_T001",5,"Zm00001d023990_T001","Putative alcohol dehydrogenase superfamily protein  ","Other","Zm00001d023990"
"Zm00001d029557_T001",5,"Zm00001d029557_T001","Chaperone protein ClpB3 chloroplastic","Other","Zm00001d029557"
"Zm00001d049365_T001",5,"Zm00001d049365_T001","Methionine aminopeptidase  ","Other","Zm00001d049365"
"Zm00001d052796_T003",5,"Zm00001d052796_T003","14-3-3-like protein A  ",NA,"Zm00001d052796"
"Zm00001d008499_T001",5,"Zm00001d008499_T001","PAP fibrillin domain proteinexpressed protein","Other","Zm00001d008499"
"Zm00001d041691_T002",5,"Zm00001d041691_T002","Uveal autoantigen with coiled-coil domains and ankyrin repeats isoform 4",NA,"Zm00001d041691"
"Zm00001d051586_T001",5,"Zm00001d051586_T001","Carbamoyl-phosphate synthase small chain  ","Other","Zm00001d051586"
"Zm00001d025652_T004",5,"Zm00001d025652_T004","Indole-3-glycerol phosphate synthase chloroplastic","Other","Zm00001d025652"
"Zm00001d025948_T001",5,"Zm00001d025948_T001","Putative translation elongation factor family protein  ","Other","Zm00001d025948"
"Zm00001d043432_T001",5,"Zm00001d043432_T001","GroES-like zinc-binding alcohol dehydrogenase family protein","Other","Zm00001d043432"
"Zm00001d019432_T003",5,"Zm00001d019432_T003","Zn-dependent exopeptidases superfamily protein",NA,"Zm00001d019432"
"Zm00001d039029_T002",5,"Zm00001d039029_T002","thiamine monophosphate synthase","Other","Zm00001d039029"
"Zm00001d034721_T001",5,"Zm00001d034721_T001"," RNA helicase4","Other","Zm00001d034721"
"Zm00001d048291_T001",5,"Zm00001d048291_T001","Multiple organellar RNA editing factor 8 chloroplastic/mitochondrial","Other","Zm00001d048291"
"Zm00001d043449_T001",5,"Zm00001d043449_T001","RNA-binding S4 domain-containing protein","Other","Zm00001d043449"
"Zm00001d015651_T001",5,"Zm00001d015651_T001","Lycopene beta cyclase chloroplastic","Other","Zm00001d015651"
"Zm00001d033896_T001",5,"Zm00001d033896_T001"," lemon white1","Other","Zm00001d033896"
"Zm00001d023698_T002",5,"Zm00001d023698_T002"," diphosphonucleotide phosphatase1","Other","Zm00001d023698"
"Zm00001d052622_T001",5,"Zm00001d052622_T001","Glutamyl-tRNA(Gln) amidotransferase subunit B chloroplastic/mitochondrial","Other","Zm00001d052622"
"Zm00001d013135_T002",5,"Zm00001d013135_T002","Ribose-5-phosphate isomerase  ","Other","Zm00001d013135"
"Zm00001d053015_T001",5,"Zm00001d053015_T001","Fructose-bisphosphate aldolase  ","Other","Zm00001d053015"
"Zm00001d002104_T001",5,"Zm00001d002104_T001","Glutamyl-tRNA(Gln) amidotransferase subunit A%2C chloroplastic/mitochondrial  ","Other","Zm00001d002104"
"Zm00001d013656_T001",5,"Zm00001d013656_T001","Glutamyl-tRNA(Gln) amidotransferase subunit C%2C chloroplastic/mitochondrial  ","Other","Zm00001d013656"
"Zm00001d006342_T003",5,"Zm00001d006342_T003","Mo-molybdopterin cofactor sulfurase  ","Other","Zm00001d006342"
"Zm00001d040827_T001",5,"Zm00001d040827_T001","NAD(P)-binding Rossmann-fold superfamily protein",NA,"Zm00001d040827"
"Zm00001d041308_T001",5,"Zm00001d041308_T001","K(+) efflux antiporter 3 chloroplastic","Other","Zm00001d041308"
"Zm00001d028662_T001",5,"Zm00001d028662_T001","Arginine biosynthesis bifunctional protein ArgJ%2C chloroplastic Glutamate N-acetyltransferase Amino-acid acetyltransferase Arginine biosynthesis bifunctional protein ArgJ alpha chain Arginine biosynthesis bifunctional protein ArgJ beta chain ","Other","Zm00001d028662"
"Zm00001d018466_T001",5,"Zm00001d018466_T001","RNA-binding (RRM/RBD/RNP motifs) family protein","Other","Zm00001d018466"
"Zm00001d004591_T002",5,"Zm00001d004591_T002","60 kDa jasmonate-induced protein","Other","Zm00001d004591"
"Zm00001d045431_T001",5,"Zm00001d045431_T001","Enolase 1  ","Other","Zm00001d045431"
"Zm00001d012673_T002",5,"Zm00001d012673_T002","uvrB/uvrC motif-containing protein","Other","Zm00001d012673"
"Zm00001d030688_T002",5,"Zm00001d030688_T002","Shikimate kinase family protein  ","Other","Zm00001d030688"
"Zm00001d000399_T002",5,"Zm00001d000399_T002"," chloroplast protein synthesis2","Other","Zm00001d000399"
"Zm00001d017118_T001",5,"Zm00001d017118_T001","Protein HHL1 chloroplastic","Other","Zm00001d017118"
"Zm00001d048593_T001",5,"Zm00001d048593_T001"," RUBISCO activase2","Other","Zm00001d048593"
"Zm00001d028471_T001",5,"Zm00001d028471_T001"," phosphoenolpyruvate carboxykinase1","Other","Zm00001d028471"
"Zm00001d040686_T001",5,"Zm00001d040686_T001","Protein translocase subunit SECA1 chloroplastic","Other","Zm00001d040686"
"Zm00001d006539_T001",5,"Zm00001d006539_T001","Beta-amylase  ","Other","Zm00001d006539"
"Zm00001d052809_T003",5,"Zm00001d052809_T003","Heat shock protein 90-5 chloroplastic","Other","Zm00001d052809"
"Zm00001d051915_T001",5,"Zm00001d051915_T001"," ABC(yeast) homolog1","Other","Zm00001d051915"
"Zm00001d041119_T004",5,"Zm00001d041119_T004","Heat shock 70 kDa protein 6 chloroplastic",NA,"Zm00001d041119"
"Zm00001d034766_T001",5,"Zm00001d034766_T001","Lysine--tRNA ligase chloroplastic/mitochondrial","Other","Zm00001d034766"
"Zm00001d011256_T001",5,"Zm00001d011256_T001","OHP2  ","Other","Zm00001d011256"
"Zm00001d025470_T010",5,"Zm00001d025470_T010","protein_coding",NA,"Zm00001d025470"
"Zm00001d026337_T007",5,"Zm00001d026337_T007","Starch synthase IIIb-1  ","Other","Zm00001d026337"
"Zm00001d020827_T001",5,"Zm00001d020827_T001","Heat shock protein 90-5 chloroplastic","Other","Zm00001d020827"
"Zm00001d015200_T003",5,"Zm00001d015200_T003","5'-AMP-activated protein kinase-related",NA,"Zm00001d015200"
"Zm00001d006756_T001",5,"Zm00001d006756_T001","WPP domain-containing protein 2","Other","Zm00001d006756"
"Zm00001d021762_T001",5,"Zm00001d021762_T001","Putative PAP-specific phosphatase mitochondrial","Other","Zm00001d021762"
"Zm00001d043944_T001",5,"Zm00001d043944_T001","protein_coding","Other","Zm00001d043944"
"Zm00001d042017_T001",5,"Zm00001d042017_T001","Thioredoxin Y1 chloroplastic","Other","Zm00001d042017"
"Zm00001d015085_T002",5,"Zm00001d015085_T002","Protein LOW PSII ACCUMULATION 2 chloroplastic",NA,"Zm00001d015085"
"Zm00001d022188_T003",5,"Zm00001d022188_T003","Copper-transporting atpase paa1",NA,"Zm00001d022188"
"Zm00001d033527_T004",5,"Zm00001d033527_T004"," magnesium transporter12","Other","Zm00001d033527"
"Zm00001d020437_T001",5,"Zm00001d020437_T001","[Fructose-bisphosphate aldolase]-lysine N-methyltransferase chloroplastic","Other","Zm00001d020437"
